time_s,angle_rad,x_m,y_m,z_m,velocity_m_s,path_length_m,emf_V,current_A,power_W,cumulative_energy_J,ball_mass_kg
0.0,0.0,0.15,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03288200310757317
0.002,0.003141854474796026,0.1499909256701914,0.00047125121160947815,-1.5001250104175347e-05,0.0012210083780233173,0.00047157723164881947,0.0023923562961483853,0.00023923562961483853,5.723368647720821e-07,1.1446737295441641e-09,0.03288200310757317
0.004,0.006283708949592052,0.1499803709082786,0.0009424454031238081,-3.0002500208350694e-05,0.0024420167560466346,0.000943128296349735,0.004779795215474547,0.0004779795215474547,2.2846442301873373e-06,5.713962189918839e-09,0.03288200310757317
0.006,0.009425563424388078,0.14996833598298256,0.0014135779240467801,-4.500375031252605e-05,0.0036630251340699516,0.0014146531941046719,0.007157416223039945,0.0007157416223039945,5.122860698983539e-06,1.5959683587885917e-08,0.03288200310757317
0.008,0.012567417899184105,0.14995482117763204,0.001884644125007882,-6.000500041670139e-05,0.004884033512093269,0.0018861519249155575,0.009520352386935658,0.0009520352386935658,9.06371095714315e-06,3.408710550217222e-08,0.03288200310757317
0.01,0.015709272373980128,0.14993982679015927,0.002355639357808181,-7.500625052087673e-05,0.006105041890116587,0.0023576244887843147,0.011863786978450305,0.0011863786978450305,1.4074944147004703e-05,6.223699379618162e-08,0.03288200310757317
0.012,0.018851126848776156,0.14992335313309516,0.0028265589754661916,-9.00075006250521e-05,0.007326050268139904,0.002829070885712874,0.014182969832011031,0.001418296983201103,2.01156633255735e-05,1.0246832044732862e-07,0.03288200310757317
0.014,0.021992981323572185,0.1499054005335648,0.0032973983322637187,-0.00010500875072922744,0.008547058646163222,0.0033004911157031606,0.0164732333871262,0.00164732333871262,2.7136741822672933e-05,1.567418040926745e-07,0.03288200310757317
0.016,0.02513483579836821,0.14988596933328252,0.003768152783791694,-0.00012001000083340278,0.009768067024186538,0.0037718851787571016,0.018730008336511193,0.0018730008336511194,3.508132122857788e-05,2.2690444654983027e-07,0.03288200310757317
0.018000000000000002,0.028276690273164234,0.14986505988854695,0.004238817686995987,-0.00013501125093757813,0.010989075402209855,0.004243253074876623,0.020948838806992245,0.0020948838806992246,4.388538473613443e-05,3.146752160220991e-07,0.03288200310757317
0.02,0.031418544747960256,0.14984267257023576,0.0047093884002231984,-0.00015001250104175346,0.012210083780233172,0.004714594804063655,0.023125397002638822,0.002312539700263882,5.3478398652965665e-05,4.2163201332803044e-07,0.03288200310757317
0.022,0.03456039922275629,0.14981880776380044,0.005179860283266439,-0.00016501375114592884,0.013431092158256488,0.005185910366320128,0.0252554972428523,0.00252554972428523,6.378401409837202e-05,5.492000415247745e-07,0.03288200310757317
0.024,0.03770225369755231,0.14979346586926104,0.005650228697411078,-0.0001800150012501042,0.014652100536279805,0.005657199761647963,0.027335109331812303,0.0027335109331812304,7.47208202182132e-05,6.986416819612009e-07,0.03288200310757317
0.026000000000000002,0.04084410817234834,0.14976664730120026,0.006120489005480492,-0.00019501625135427952,0.015873108914303123,0.006128462990049097,0.029360371199725257,0.0029360371199725257,8.620313969856564e-05,8.710479613583322e-07,0.03288200310757317
0.028,0.04398596264714437,0.14973835248875803,0.006590636571881767,-0.00021001750145845487,0.01709411729232644,0.006599700051525453,0.03132760076070276,0.003132760076070276,9.814185694219842e-05,1.067331675242729e-06,0.03288200310757317
